File,Name,Artist,Charter,Year,Genre,StarRating,IntensityStars,LengthBonus,Blended,TotalNotes,FretLaneNotes,StrumCount,HopoCount,TapCount,DurationSeconds,MeanNps,MaxNps,P83,P93,P99,L5,FretMean,StrumMean,SustainMean
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 021. Offensive Tackle\Megadriver - Bloody Tears (From Castlevania 2 Simon's Quest) [Miscellany]\notes.chart,Bloody Tears,Megadriver,Miscellany,", 2016",Heavy Metal,6.17,5.38,0.78,9.304,1015,1016,376,563,76,161.13,4.909,20.988,6.750,8.495,14.083,11.927,4.853,0.753,0.265
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 021. Offensive Tackle\Panzerballett - Typewriter II [Miscellany]\notes.chart,Typewritter II,Panzerballett,Miscellany,", 2015",Progressive Jazz,6.84,5.79,1.05,9.889,2023,2044,1065,754,204,369.01,4.471,18.828,6.636,9.346,14.375,12.932,4.015,1.255,0.229
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\Alhambra - Siegfried Solo Medley [Peddy]\notes.chart,Siegfried Solo Medley,Alhambra,Peddy,", 2012",Solo Medley,9.32,7.90,1.42,12.802,5045,5073,1095,1897,2053,635.21,6.102,22.451,9.302,12.321,17.430,15.946,5.988,0.588,0.267
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\Dave Weckl - In The Pocket [JoeyD]\notes.chart,In The Pocket,Dave Weckl,JoeyD,", 1994",Fusion,4.98,3.95,1.03,7.186,1462,1951,237,113,1112,317.86,3.428,10.809,5.709,6.966,9.175,8.533,3.127,0.304,0.499
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\Kiko Loureiro - Cutting Edge [ThundahK]\notes.chart,Cutting Edge,Kiko Loureiro,ThundahK,", 2009",Progressive Metal,8.24,7.22,1.01,11.888,1773,1858,262,1511,0,229.04,6.181,18.605,9.080,11.578,15.570,14.254,6.054,0.383,0.292
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\RichaadEB - Big Shot (Deltarune) [Peddy]\notes.chart,Big Shot,RichaadEB,Peddy,", 2021",Metal,7.28,6.29,0.99,10.589,1760,1769,758,544,458,280.98,5.214,17.870,8.619,10.369,13.251,12.217,4.912,1.245,0.363
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\RichaadEB - The World Revolving (Deltarune) [Miscellany]\notes.chart,The World Revolving,RichaadEB,Miscellany,", 2018",Power Metal,7.34,6.46,0.89,10.824,1348,1348,585,251,512,202.11,5.285,20.490,8.156,10.438,14.487,13.195,5.162,0.927,0.416
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\Silent Force - Death Comes in Disguise [Peddy]\notes.chart,Death Comes in Disguise,Silent Force,Peddy,", 2004",Power Metal,8.47,7.53,0.94,12.313,1487,1533,534,641,312,268.16,4.919,28.013,8.240,11.186,19.890,16.153,4.539,0.551,0.642
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\The Helix Nebula - Sea of Suns [Eva]\notes.chart,Sea of Suns,The Helix Nebula,EvaCH,", 2014",Progressive Metal,7.32,6.26,1.06,10.545,1705,2095,981,585,139,333.12,5.241,16.383,8.033,10.286,13.970,12.552,4.642,1.152,0.750
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 022. 22-Yard Punt\Wardrum - Let the Flames Grow [Spachi]\notes.chart,Let the Flames Grow,Wardrum,Spachi,", 2016",Progressive Power Metal,5.48,4.57,0.90,8.122,1234,1407,974,245,15,256.55,4.336,13.944,5.951,7.787,11.155,10.074,3.404,1.598,1.035
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\Dan James Griffin - Butterfly [XEntombmentX]\notes.chart,Butterfly,Dan James Griffin,XEntombmentX,", 2017",Math Rock,5.67,4.79,0.88,8.438,1121,1310,362,620,139,175.10,4.655,12.766,7.128,8.174,10.144,9.817,4.327,1.092,0.119
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\House of Waters - Juice [jdurandTV]\notes.chart,Juice,House of Waters,jdurandTV,,rock,9.00,7.98,1.03,12.911,1528,1919,1425,103,0,192.66,7.665,19.404,11.150,12.614,15.414,14.526,7.331,2.353,0.006
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\Joe Robinson - Chickin Lickin [Stickheadz32]\notes.chart,Chickin Lickin,Joe Robinson,Stickheadz32,", 2007",Bluegrass,9.98,9.26,0.72,14.625,775,840,157,618,0,85.95,8.629,22.355,12.010,14.151,18.373,17.087,8.602,0.580,0.085
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\John Coltrane - Countdown [iZenPenguin]\notes.chart,Countdown,John Coltrane,iZenPenguin,", 1960",Jazz,7.52,6.75,0.77,11.231,990,990,0,0,990,112.76,6.077,16.065,9.239,11.048,13.545,12.976,6.028,0.050,0.194
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\Lost Society - Samy Elbanna Vs. Arttu Lesonen [Miscellany]\notes.chart,Samy Elbana Vs. Arttu Lesonen,Lost Society,Miscellany,", 2016",Shred,10.18,9.06,1.11,14.363,2371,2391,245,1819,307,256.87,6.471,25.585,9.125,13.589,21.515,19.076,6.356,0.311,0.216
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\Majestic - Voodoo Treasure [Peddy]\notes.chart,Voodoo Treasure,Majestic,Peddy,", 2000",Neoclassical Metal,8.47,7.27,1.20,11.954,2618,2961,519,1258,841,374.48,5.312,24.809,8.425,10.926,18.185,15.560,4.941,0.544,0.403
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\Moron Police - The Phantom Below [TFG85]\notes.chart,The Phantom Below,Moron Police,TFG85,", 2019",Rock,7.09,6.11,0.98,10.344,1312,1715,691,213,408,240.68,4.666,19.198,7.172,9.326,15.825,13.858,4.290,1.141,0.398
"C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\Oytun Ersan - Oh, That Butterfly! [jdurandTV]\notes.chart","Oh, That Butterfly",Oytun Ersan,jdurandTV,", 2018",Jazz Fusion,7.10,5.93,1.17,10.079,2751,2774,585,796,1370,479.15,4.511,19.121,7.259,9.374,14.724,12.870,4.403,0.576,0.276
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 023. Lunch Break\Steve Vai - Fire Garden Suite [GHX]\notes.chart,Fire Garden Suite,Steve Vai,GHX,", 1996",Instrumental Rock,7.22,5.91,1.31,10.053,3629,3918,1516,1395,718,587.42,4.726,21.101,7.425,9.370,14.358,12.724,4.356,1.013,0.364
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\Country Bones - Outlaw Run (feat. Richard Fortus) [jdurandTV]\notes.chart,Outlaw Run (feat. Richard Fortus),Country Bones,jdurandTV,", 2014",Country / Rock,7.74,6.65,1.09,11.095,1856,2245,696,1097,63,284.12,5.824,21.735,8.453,10.335,15.657,13.826,5.696,0.997,0.282
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\Judas Priest - You've Got Another Thing Coming (Live) [Miscellany]\notes.chart,Somethin,Judas,,,rock,7.34,6.03,1.31,10.228,3396,3915,1851,1388,157,640.09,4.380,23.665,7.667,9.980,13.055,12.574,3.939,0.717,0.444
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\Louis Cole - Mean It [JoeyD]\notes.chart,Mean It,Louis Cole,JoeyD,", 2016",Synth Funk,6.89,5.91,0.98,10.058,1451,1715,456,196,799,246.05,4.396,15.048,7.818,10.044,12.600,11.620,3.975,1.223,0.087
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\Michael Lee Firkins - Runaway Train [Supahfast198]\notes.chart,,,,,rock,7.37,6.42,0.94,10.781,1259,1554,452,739,68,183.98,5.855,16.181,9.482,10.304,12.918,12.409,5.620,0.974,0.389
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\Milan Polak - Quicksilver [Peddy]\notes.chart,Quicksilver,Milan Polak,Peddy,", 2003",Shred,8.08,7.08,1.00,11.695,1756,1783,277,1005,474,215.88,6.163,16.175,9.601,11.557,14.067,13.435,6.044,0.498,0.227
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\OHMphrey - Ramona's Car Wash [ΩHM]\notes.chart,Ramona's Car Wash,OHMphrey,OHM,", 2012",Fusion,6.55,5.61,0.94,9.632,1441,1526,457,566,418,294.96,3.911,15.200,6.942,9.435,12.777,11.867,3.758,0.571,0.302
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\Persefone - Rage Stained Blade [iZenPenguin]\notes.chart,Rage Stained Blade,Persefone,iZenPenguin,", 2009",Melodic Death Metal,8.54,7.42,1.11,12.162,2196,2388,1007,1125,64,273.50,6.520,20.025,9.783,11.936,14.908,14.268,6.064,1.483,0.094
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 024. Quarterback Shuffle\The Reverend Horton Heat - Livin' on the Edge (of Houston) [Stickheadz32]\notes.chart,Livin' on the Edge (of Houston),The Reverend Horton Heat,Stickheadz32,", 1993",Rockabilly,9.26,8.06,1.20,13.031,1563,2945,1269,294,0,171.41,7.016,18.050,9.873,13.261,15.282,15.333,6.802,1.832,0.110
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Anthriel - Rhapsody of Fire [Peddy]\notes.chart,Rhapsody of Fire,Anthriel,Peddy,", 2017",Progressive Power Metal,7.08,5.89,1.19,10.028,2871,2914,509,1759,603,421.62,5.499,20.327,7.925,9.419,13.689,12.198,5.267,0.473,0.211
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Chrono Diver -PENDULUMs- [Rek3dge]\notes.chart,Chrono Diver -PENDULUMs-,猫叉L.E.D.Master+,Rek3dge,", 2018",SDVX,11.89,11.10,0.80,17.002,984,1050,150,139,695,117.97,8.340,20.770,14.105,17.255,19.675,18.716,8.189,0.422,0.224
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Evile - Hell Unleashed [Miscellany]\notes.chart,Hell Unleashed,Evile,Miscellany,", 2021",Thrash Metal,7.29,6.17,1.12,10.426,2103,2443,1761,235,107,206.27,5.756,22.235,8.500,9.440,14.476,13.025,5.207,2.520,0.290
"C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Glen Drover, Fredrik Åkesson - Don't Let the World Pass You By (Jean-Luc Ponty cover) [Peddy]\notes.chart",Don't Let the World Pass You By (Jean-Luc Ponty cover),"Glen Drover, Fredrik Åkesson ",Peddy,", 2011",Progressive Rock,6.86,5.75,1.10,9.835,2333,2340,443,1594,296,382.34,4.534,22.478,7.065,8.800,15.298,12.894,4.295,0.425,0.530
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Megadeth - Last Rites - Loved To Deth [ΩHM]\notes.chart,Last Rites/Loved To Deth,Megadeth,OHM,", 1985",Thrash Metal,8.39,7.25,1.14,11.927,2204,2563,966,970,268,274.44,7.161,14.975,10.361,11.710,13.970,13.352,6.990,1.564,0.220
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Nili Brosh - Adaptable Creatures [iZenPenguin]\notes.chart,Adaptable Creatures,Nili Brosh,iZenPenguin,", 2014",Shred,6.67,5.65,1.02,9.686,1880,1880,638,486,756,270.88,5.256,18.315,7.155,9.181,13.283,12.188,5.156,0.877,0.203
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Sammy Boller - Illusions [ThundahK]\notes.chart,Illusions,Sammy Boller,ThundahK,", 2020",Progressive Metal,8.69,7.64,1.06,12.450,2073,2074,905,164,1004,210.32,7.059,18.990,8.790,12.663,15.662,14.942,7.037,0.674,0.032
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Silex - Forevermore [Peddy]\notes.chart,Forevermore,Silex,Peddy,", 2017",Neoclassical Metal,9.32,8.35,0.96,13.417,1629,1637,317,1142,170,212.68,6.538,20.103,10.756,13.409,16.229,15.357,6.368,0.491,0.384
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 025. Scrimmage\Van Halen - Sinner_s Swing! [NunoVH]\notes.chart,Sinner's Swing!,Van Halen,NunoVH,", 1981",rock,8.51,7.63,0.88,12.445,851,1309,495,121,235,184.74,5.383,17.184,9.880,12.478,15.002,14.301,4.958,1.250,0.880
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 026. Penalty Point\Adrien Moignard _ Gonzalo Bergara - Djangos Tiger [Haggis]\notes.chart,Django's Tiger,Adrien Moignard & Gonzalo Bergara,Haggis,", 2013",Gypsy Jazz,8.79,7.84,0.96,12.723,1584,1612,272,1312,0,192.54,7.274,20.100,10.393,12.214,16.365,14.957,7.231,0.438,0.073
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 026. Penalty Point\Extreme - Midnight Express [Angevil]\notes.chart,Midnight Express,Extreme,Angevil,", 1995",Acoustic,7.58,6.51,1.07,10.899,1614,2152,857,757,0,223.94,6.328,16.257,8.845,10.958,13.010,12.278,5.964,1.764,0.531
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 026. Penalty Point\Jelonek - Vendome 1212 [BurpLeTurtle]\notes.chart,Vendome 1212,Jelonek,BurpLeTurtle,", 2007",Symphonic Metal,7.34,6.42,0.92,10.778,1447,1447,179,1268,0,167.96,5.983,16.825,9.345,9.625,15.000,13.050,5.837,0.443,0.168
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 026. Penalty Point\Knower - What Did I Do To You [ΩHM]\notes.chart,What Did I Do To You (ft. John Escreet and Aya Toyoshima),Knower,OHM,", 2011",Indie Jazz,6.42,5.63,0.79,9.657,999,1035,271,162,566,157.81,4.678,15.678,8.001,9.513,11.565,11.097,4.236,0.851,0.383
"C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 026. Penalty Point\Matteo Mancuso Solo Medley [Haggis, Peddy, iZenPenguin, ΩHM, Stickheadz32]\notes.chart",Matteo Mancuso Solo Medley,Matteo Mancuso,"Haggis, Peddy, iZenPenguin, ΩHM, Stickheadz32",", 2021",Solo Medley,8.15,6.81,1.34,11.321,3962,4151,809,2769,384,606.74,5.402,20.295,8.845,10.975,14.628,13.539,5.227,0.359,0.386
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 026. Penalty Point\Michael Romeo - Sevil Alucard [Peddy]\notes.chart,Sevil Alucard,Michael Romeo,Peddy,", 1994",Neoclassical Metal,7.59,6.42,1.17,10.779,2612,2757,625,940,1047,303.76,6.036,16.415,8.597,10.391,13.935,12.800,5.936,0.869,0.143
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 027. Go Long!\Cacophony - Go Off! [Stickheadz32]\notes.chart,Go Off!,Cacophony,Stickheadz32,", 1989",Jazz Fusion,7.51,6.55,0.96,10.954,1599,1617,356,1208,35,221.30,5.577,19.710,8.960,10.425,14.184,13.021,5.447,0.462,0.321
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 027. Go Long!\Jethro Tull - Locomotive Breath (Live) [Haggis]\notes.chart,Locomotive Breath (Live),Jethro Tull,Haggis,", 2007",Progressive Rock,6.12,5.07,1.05,8.849,1666,2048,483,158,1025,338.38,3.685,16.956,6.224,8.515,12.232,11.192,3.279,0.665,0.433
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 027. Go Long!\John 5 - 27 Needles [ΩHM]\notes.chart,27 Needles,John 5,OHM,", 2007",Shred,7.99,6.78,1.20,11.278,2945,3005,1358,1484,103,361.47,6.559,17.825,9.232,10.952,14.389,13.015,6.381,1.378,0.198
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 027. Go Long!\Kreator - From Flood Into Fire [Miscellany]\notes.chart,From Flood Into Fire,Kreator,Miscellany,,rock,7.67,6.64,1.03,11.081,1890,1935,1460,202,228,320.69,5.177,39.398,6.944,8.798,21.878,15.992,4.885,1.433,0.117
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 027. Go Long!\Metallica - Motorbreath [Miscellany]\notes.chart,Motorbreath,Metallica,Miscellany,", 1983",Thrash Metal,9.08,8.05,1.04,13.006,1383,1979,898,485,0,178.15,7.372,22.824,10.584,12.809,15.851,15.056,6.756,2.760,0.221
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 027. Go Long!\Shadow of Intent - From Ruin... We Rise [Miscellany]\notes.chart,From Ruin... We Rise,Shadow of Intent,Miscellany,", 2022",Deathcore,5.88,4.69,1.19,8.294,1639,2919,999,159,481,287.84,4.254,11.400,6.881,7.938,10.532,9.741,3.079,1.358,0.338
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 027. Go Long!\Speedy West & Jimmy Bryant - China Boy [OrangeHat & jdurandTV]\notes.chart,China Boy,Jimmy Bryant,OrangeHat,,rock,7.84,6.65,1.20,11.091,2589,2952,731,1826,32,371.05,6.019,18.526,8.916,10.590,14.555,13.203,5.938,0.726,0.187
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 028. Interception\Dance Gavin Dance - Lyrics Lie [Chezy]\notes.chart,Lyrics Lie,Dance Gavin Dance,Chezy,,rock,7.38,6.41,0.97,10.764,1595,1652,187,30,1378,220.80,5.737,14.088,8.213,11.105,12.708,12.213,5.621,0.454,0.159
"C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 028. Interception\HeXeN Solo Medley [ThundahK, Miscellany]\notes.chart",HeXeN Solo Medley,HeXeN,"ThundahK, Miscellany",,Thrash Metal,9.42,7.81,1.60,12.691,7758,7814,2404,3920,1434,792.56,6.634,22.235,10.004,12.230,16.531,15.168,6.470,0.893,0.206
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 028. Interception\Kill the Noise - Black Magic (Kill the Noise Pt. 2) [Miscellany]\notes.chart,Black Magic (Kill the Noise Pt. 2),Kill the Noise,Miscellany,", 2012",EDM,7.58,6.66,0.92,11.113,1221,1453,564,286,371,234.16,5.420,20.308,8.201,10.630,14.708,14.040,4.640,0.905,1.051
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 028. Interception\MABlands Chugs - Chug Dat Drink (feat. Michael Angelo Batio) [jdurandTV]\notes.chart,Chug Dat Drink (Badlands),MABlands Chugs,jdurandTV,,Hiphop Shred,5.62,4.88,0.74,8.573,848,908,208,394,246,151.38,4.203,16.430,6.661,8.157,11.320,10.529,4.119,0.395,0.146
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 028. Interception\Mastodon - Capillarian Crest [Angevil]\notes.chart,Capillarian Crest,Mastodon,Angevil,", 2006",Sludge Metal,7.78,6.69,1.09,11.145,1988,2265,1284,704,0,259.22,6.401,13.635,9.835,10.915,13.012,12.365,5.968,1.399,0.226
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 028. Interception\Panzerballett - The IKEA Trauma (ft. Mattias IA Eklundh) [Peddy]\notes.chart,The IKEA Trauma (ft. Mattias IA Enklundh),Panzerballett,Peddy,", 2012",IKEA Metal,6.58,5.65,0.93,9.686,1246,1498,593,531,122,243.77,4.894,14.998,7.157,9.794,12.055,11.417,4.607,0.680,0.912
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 028. Interception\Sithu Aye - Solstice [ΩHM]\notes.chart,Solstice,Sithu Aye,OHM,", 2013",Djent,5.36,4.41,0.96,7.872,1559,1609,733,763,63,309.40,3.654,17.373,5.811,7.450,10.902,9.885,3.461,0.845,0.421
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 029. End Zone\Ember Falls - The Lamb Lies Down in Sacrifice [Stickheadz32]\notes.chart,The Lamb Lies Down in Sacrifice,Ember Falls,Stickheadz32,", 2017",Melodic Death Metal,6.62,5.56,1.07,9.553,2021,2125,902,410,709,240.00,5.893,15.720,8.001,9.107,12.279,11.132,5.652,1.872,0.103
"C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 029. End Zone\Guthrie Govan - Rhode Island Shred (GotE) [OrangeHat, Chemfinal]\notes.chart",Rhode Island Shred,Guthrie Govan,"OrangeHat, Chemfinal",", 1993",KKona,11.59,10.70,0.88,16.496,1314,1327,73,995,246,121.46,8.894,27.275,12.317,15.535,24.418,19.920,8.880,0.179,0.080
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 029. End Zone\Johnny Hiland - Call Me the Breeze (JJ Cale cover) [iZenPenguin]\notes.chart,Call Me the Breeze (JJ Cale cover),Johnny Hilland,iZenPenguin,", 2017",Southern Rock,8.98,7.94,1.04,12.858,1757,1986,829,663,265,294.90,6.424,22.830,10.109,12.466,16.309,15.452,6.229,1.086,0.561
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 029. End Zone\Joscho Stephan - Blues For Tommy (feat. Tommy Emmanuel) [Haggis]\notes.chart,Blues For Tommy (feat. Tommy Emmanuel),Joscho Stephan,Haggis,", 2015",Gypsy Jazz,9.96,8.94,1.02,14.193,1728,1904,527,1177,24,192.92,8.135,21.361,11.713,13.843,17.398,16.476,8.025,0.969,0.087
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 029. End Zone\Kadinja - Strive [Haggis]\notes.chart,Strive,Kadinja,Haggis,", 2019",Metalcore,7.29,6.34,0.96,10.657,1349,1613,776,291,282,193.17,6.563,14.839,9.199,10.444,12.497,12.040,6.379,1.703,0.282
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 029. End Zone\Lorna Shore - To the Hellfire [Miscellany]\notes.chart,To the Hellfire,Lorna Shore,Miscellany,", 2021",Deathcore,5.93,4.70,1.23,8.302,2269,3205,1873,396,0,362.13,4.020,14.478,6.631,8.111,10.483,9.732,3.604,1.030,0.493
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 029. End Zone\Marmalade butcher - Immortality Math Club [ThundahK]\notes.chart,Immortality Math Club,Marmalade Butcher,ThundahK,", 2014",Math Rock,6.02,5.08,0.95,8.860,1326,1564,804,227,295,211.14,4.727,11.949,7.230,8.763,10.776,10.161,4.433,1.245,0.332
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 030. Blitz\Arturo Sandoval - Things to Come [jdurandTV]\notes.chart,,,,,rock,7.18,5.93,1.24,10.088,3287,3305,0,2,3285,425.47,5.333,14.985,8.276,9.894,12.359,11.654,5.289,0.089,0.112
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 030. Blitz\Bradley Hall - 15 Original Solos [Peddy]\notes.chart,15 Original Solos,Bradley Hall,Peddy,", 2019",Solo Medley,7.74,6.43,1.32,10.783,3936,3960,901,2918,117,610.16,4.812,19.420,7.985,10.300,14.858,13.329,4.680,0.428,0.369
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 030. Blitz\Dizzy Gillespie - Be Bop (Dizzy's Fingers) [Haggis]\notes.chart,Be Bop (Dizzy's Fingers),Dizzy Gillespie,Haggis,", 1975",Bebop,7.87,6.86,1.01,11.383,1828,1854,280,379,1169,260.77,5.388,19.868,8.846,10.897,14.907,13.883,5.331,0.337,0.143
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 030. Blitz\Jason Becker - Temple of the Absurd [Chemfinal]\notes.chart,,,,,rock,6.44,5.43,1.01,9.374,1798,1828,800,982,16,275.31,4.804,15.650,7.049,8.975,12.692,11.517,4.645,0.938,0.266
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 030. Blitz\Luna Sea - Slave [jdurandTV]\notes.chart,Slave,Luna Sea,jdurandTV,", 1997",rock,5.89,4.80,1.09,8.458,1334,2245,935,371,28,206.07,4.760,12.140,6.773,8.686,9.685,9.440,4.339,1.942,0.249
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 031. New York Giants\Count Basie - The Kid From Red Bank [Haggis]\notes.chart,The Kid From Red Bank,Count Basie,Haggis,", 1958",Big Band,5.76,4.91,0.85,8.617,884,1216,0,0,884,152.39,4.043,12.330,6.818,8.325,11.498,10.082,3.751,0.140,0.403
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 031. New York Giants\Extreme - Mutha (Don't Wanna Go To School Today) [ΩHM]\notes.chart,Mutha (Don't Wanna Go To School Today),Extreme,OHM,", 1989",Hard Rock,8.10,7.02,1.08,11.606,1907,2222,610,873,424,277.12,6.057,18.331,9.425,11.247,14.870,13.511,5.884,0.797,0.333
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 031. New York Giants\Infectious Grooves - Violent & Funky [Peddy]\notes.chart,Violent & Funky,Infectious Grooves,Peddy,", 1994",Funk Metal,6.81,5.63,1.18,9.664,2761,2800,1253,1508,0,253.59,5.847,12.361,8.879,9.666,10.339,10.303,5.273,2.387,0.027
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 031. New York Giants\Joe Satriani - Big Bad Moon [Angevil]\notes.chart,Big Bad Moon,Joe Satriani,Angevil,", 1989",Blues Rock,8.40,7.39,1.01,12.121,1483,1832,711,432,340,310.82,5.216,24.998,8.527,11.282,17.868,15.628,4.791,1.174,0.847
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 031. New York Giants\Novos Baianos - Um Bilhete para Didi [iZenPenguin]\notes.chart,Um Bilhete para Didi,Novos Baianos,iZenPenguin,", 1972",Samba,6.46,5.54,0.92,9.530,1415,1473,1136,273,6,171.95,5.830,17.003,7.536,8.644,13.914,11.823,5.254,2.988,0.070
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 031. New York Giants\The Forrest Gump Mile High Marathon - Stupid Is As Stupid Does [Stickheadz32]\notes.chart,Stupid Is As Stupid Does,The Forrest Gump Mile High Marathon,Stickheadz32,", 2010",Gumpcore Deathgroove Shrimpslam,7.86,7.05,0.81,11.652,544,1078,529,0,15,136.19,5.455,14.051,9.571,12.167,12.696,12.572,5.176,1.468,0.778
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 031. New York Giants\Trivium - The Phalanx [Miscellany]\notes.chart,The Phalanx,Trivium,Miscellany,", 2021",Metalcore,6.59,5.42,1.17,9.358,2052,2740,1323,724,5,426.64,4.144,20.479,6.546,8.172,15.603,12.419,3.577,0.906,0.647
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 032. New England Patriots\Hibria - Deadly Vengeance [Peddy]\notes.chart,Deadly Vengeance,Hibria,Peddy,", 2013",Power Metal,7.83,6.78,1.05,11.281,1605,2040,982,400,223,298.62,5.525,20.006,8.775,10.930,14.959,13.363,5.086,1.244,0.682
C:\YARG\Charts\Carpal Tunnel Hero 3\[CTH3] 032. New England Patriots\I Am Abomination - Let the Medley Tell the Truth [Chezy]\notes.chart,Let the Medley Tell the Truth,I Am Abomination,Chezy,,rock,7.44,6.48,0.97,10.852,1626,1664,483,622,521,203.59,6.228,15.515,8.813,10.620,13.545,12.579,6.133,0.823,0.204
